line,colour
iCab,#424B4D
22-1,#FB737A
7-2,#FD6F86
8-2,#FF6C91
18-2,#FF699C
134-1,#FF66A6
75-1,#FF64B0
47-1,#FF62BA
4-1,#FF61C3
139-4,#FF61CC
4-2,#FC61D4
53-2,#F962DC
23-2,#F564E3
29-1,#F066EA
140-3,#EA6AF1
14-2,#E36EF6
11-2,#DB72FB
138-1,#D177FF
69-2,#C77CFF
20-1,#BB81FF
50-2,#AE87FF
60-1,#9F8CFF
59-2,#8E92FF
55-2,#7A97FF
11-1,#619CFF
72-1,#3FA1FF
129-1,#00A5FF
39-2,#00A9FF
32-2,#00ADFA
137-4,#00B1F5
17-1,#00B4F0
106-1,#00B6EA
106-2,#00B9E3
15-1,#00BBDC
135-2,#00BDD5
71-1,#00BECD
5-1,#00BFC4
123-2,#00C0BC
59-1,#00C0B3
80-2,#00C1A9
72-2,#00C19F
110-2,#00C095
30-1,#00C08B
38-2,#00BF80
61-1,#00BF74
95-1,#00BE67
132-4-1,#00BC5A
131-4,#00BB4B
68-1,#00BA38
80-1,#00B81E
70-2,#2BB600
117-1,#49B500
21-2,#5EB300
14-1,#6EB000
40-2,#7CAE00
58-2,#88AC00
40-1,#93AA00
25-1,#9DA700
49-1,#A6A400
23-1,#AFA200
79-2,#B79F00
39-1,#BF9C00
117-2,#C69900
135-1,#CD9600
62-2,#D39200
94-1,#D98F00
84-2,#DE8C00
69-1,#E48800
104-1,#E88526
33-1,#ED813E
43-2,#F17D50
13-2,#F57A5F
10-1,#F8766D
outbred,#718084
luzonensis,#C8CED0
